id,ActualTime,WatchTimeStamp,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Esense TimeStamp,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense
7134,10:51.5,2025-06-23T13:10:51.470961,1.144428372,-0.70628953,9.605537415,0.010995574,0.007330383,0,2025-06-23T13:10:51.354,1232,-5364,6941,60,-64,116
7135,10:51.5,2025-06-23T13:10:51.470961,1.144428372,-0.70628953,9.605537415,0.010995574,0.007330383,0,2025-06-23T13:10:51.468,1228,-5356,6943,81,67,-266
7136,10:51.6,2025-06-23T13:10:51.662712,1.18991828,-0.770932972,9.600749016,0.008552114,0.004886922,0,2025-06-23T13:10:51.541,1217,-5365,6935,54,-90,90
7137,10:51.7,2025-06-23T13:10:51.762837,1.139639974,-0.720654726,9.648633003,0.00122173,-0.004886922,-0.00122173,2025-06-23T13:10:51.731,1240,-5369,6944,55,-81,100
7138,10:51.8,2025-06-23T13:10:51.762837,1.139639974,-0.720654726,9.648633003,0.00122173,-0.004886922,-0.00122173,2025-06-23T13:10:51.806,1239,-5371,6946,54,-83,96
7139,10:51.9,2025-06-23T13:10:51.862869,1.180341482,-0.694318473,9.639056206,-0.007330383,0,0.00122173,2025-06-23T13:10:51.900,1238,-5361,6947,74,117,40
7140,10:52.0,2025-06-23T13:10:51.963029,1.096544385,-0.658405483,9.607931137,0.008552114,-0.00122173,-0.00122173,2025-06-23T13:10:51.900,1238,-5361,6947,74,117,40
7141,10:52.1,2025-06-23T13:10:52.162880,1.120486379,-0.677559078,9.694122314,-0.004886922,-0.00122173,-0.00122173,2025-06-23T13:10:52.091,1237,-5359,6928,61,-115,64
7142,10:52.2,2025-06-23T13:10:52.162880,1.120486379,-0.677559078,9.694122314,-0.004886922,-0.00122173,-0.00122173,2025-06-23T13:10:52.173,1222,-5360,6949,72,124,47
7143,10:52.3,2025-06-23T13:10:52.264335,1.139639974,-0.768538773,9.54807663,0.006108652,-0.002443461,0,2025-06-23T13:10:52.251,1231,-5357,6936,63,-100,81
7144,10:52.4,2025-06-23T13:10:52.264335,1.139639974,-0.768538773,9.54807663,0.006108652,-0.002443461,0,2025-06-23T13:10:52.360,1240,-5356,6944,72,-123,54
7145,10:52.5,2025-06-23T13:10:52.562953,1.139639974,-0.689530075,9.62469101,0,0.00122173,0.00122173,2025-06-23T13:10:52.529,1235,-5353,6942,73,-119,62
7146,10:52.6,2025-06-23T13:10:52.662544,1.182735682,-0.703895271,9.643844604,0.007330383,0.00122173,-0.00122173,2025-06-23T13:10:52.631,1235,-5371,6946,62,120,45
7147,10:52.7,2025-06-23T13:10:52.662544,1.182735682,-0.703895271,9.643844604,0.007330383,0.00122173,-0.00122173,2025-06-23T13:10:52.631,1235,-5371,6946,62,120,45
7148,10:52.8,2025-06-23T13:10:52.762807,1.130063176,-0.754173517,9.581595421,-0.002443461,0.004886922,0,2025-06-23T13:10:52.836,1231,-5364,6955,68,-99,80
7149,10:52.9,2025-06-23T13:10:52.862913,1.163581967,-0.730231524,9.634267807,-0.00122173,0,0,2025-06-23T13:10:52.897,1233,-5360,6933,67,101,30
7150,10:53.0,2025-06-23T13:10:53.063190,1.134851575,-0.730231524,9.612719536,-0.009773844,0.00122173,0,2025-06-23T13:10:52.990,1224,-5357,6937,73,-99,80
7151,10:53.1,2025-06-23T13:10:53.063190,1.134851575,-0.730231524,9.612719536,-0.009773844,0.00122173,0,2025-06-23T13:10:53.088,1232,-5363,6934,60,-108,75
7152,10:53.2,2025-06-23T13:10:53.263,1.180341482,-0.78050977,9.619902611,0.012217305,0.002443461,0,2025-06-23T13:10:53.153,1232,-5373,6942,59,-123,60
7153,10:53.3,2025-06-23T13:10:53.363055,1.144428372,-0.689530075,9.639056206,-0.007330383,0.002443461,-0.00122173,2025-06-23T13:10:53.269,1238,-5356,6937,70,-110,68
7154,10:53.4,2025-06-23T13:10:53.363055,1.144428372,-0.689530075,9.639056206,-0.007330383,0.002443461,-0.00122173,2025-06-23T13:10:53.430,1239,-5371,6941,73,-119,61
7155,10:53.5,2025-06-23T13:10:53.562725,1.161187768,-0.701501071,9.593565941,0.009773844,0.003665192,0,2025-06-23T13:10:53.430,1239,-5371,6941,73,-119,61
7156,10:53.6,2025-06-23T13:10:53.663092,1.15161097,-0.708683729,9.574412346,-0.007330383,0.00122173,0,2025-06-23T13:10:53.625,1230,-5362,6948,67,123,45
7157,10:53.8,2025-06-23T13:10:53.767904,1.165976286,-0.675164878,9.62469101,-0.004886922,0.00122173,0,2025-06-23T13:10:53.715,1227,-5354,6946,74,-121,59
7158,10:53.8,2025-06-23T13:10:53.863023,1.142034173,-0.70628953,9.670180321,0.012217305,0.002443461,0,2025-06-23T13:10:53.805,1238,-5365,6942,61,-122,57
7159,10:53.9,2025-06-23T13:10:53.962803,1.060631394,-0.751779318,9.610325813,-0.007330383,-0.002443461,-0.00122173,2025-06-23T13:10:53.873,1226,-5354,6946,77,124,47
7160,10:54.0,2025-06-23T13:10:54.062945,1.170764685,-0.725443125,9.595960617,-0.008552114,0.00122173,0.00122173,2025-06-23T13:10:53.960,1230,-5361,6956,62,-108,74
7161,10:54.1,2025-06-23T13:10:54.162936,1.185129881,-0.782903969,9.579200745,0.014660766,0,-0.00122173,2025-06-23T13:10:54.076,1229,-5359,6947,66,-126,56
7162,10:54.2,2025-06-23T13:10:54.262959,1.175553083,-0.653617084,9.658209801,-0.006108652,0.00122173,0,2025-06-23T13:10:54.228,1234,-5359,6939,67,121,43
7163,10:54.3,2025-06-23T13:10:54.362584,1.18752408,-0.66798228,9.607931137,0.003665192,-0.002443461,0,2025-06-23T13:10:54.330,1232,-5355,6946,69,-111,65
7164,10:54.4,2025-06-23T13:10:54.362584,1.18752408,-0.66798228,9.607931137,0.003665192,-0.002443461,0,2025-06-23T13:10:54.424,1230,-5363,6935,62,-117,62
7165,10:54.5,2025-06-23T13:10:54.562863,1.168370485,-0.699106872,9.658209801,-0.00122173,-0.002443461,-0.00122173,2025-06-23T13:10:54.527,1234,-5355,6939,70,-109,68
7166,10:54.6,2025-06-23T13:10:54.562863,1.168370485,-0.699106872,9.658209801,-0.00122173,-0.002443461,-0.00122173,2025-06-23T13:10:54.609,1230,-5362,6939,61,-110,65
7167,10:54.7,2025-06-23T13:10:54.763004,1.086967587,-0.679953277,9.634267807,0.007330383,-0.002443461,0,2025-06-23T13:10:54.703,1232,-5373,6938,56,-106,75
7168,10:54.8,2025-06-23T13:10:54.862933,1.089361787,-0.644040287,9.679757118,0.006108652,-0.00122173,-0.002443461,2025-06-23T13:10:54.784,1232,-5359,6941,66,126,51
7169,10:54.9,2025-06-23T13:10:54.962731,1.125274777,-0.737414122,9.622296333,-0.004886922,-0.002443461,0,2025-06-23T13:10:54.882,1232,-5364,6952,70,-125,54
7170,10:55.0,2025-06-23T13:10:54.962731,1.125274777,-0.737414122,9.622296333,-0.004886922,-0.002443461,0,2025-06-23T13:10:54.882,1232,-5364,6952,70,-125,54
7171,10:55.1,2025-06-23T13:10:55.163055,1.094150186,-0.703895271,9.603142738,0.00122173,0.00122173,0,2025-06-23T13:10:55.149,1233,-5356,6960,68,-115,65
